Date,Mentions Likes de la Page Facebook
2022-07-01T00:00:00,11
2022-07-02T00:00:00,7
2022-07-03T00:00:00,16
2022-07-04T00:00:00,18
2022-07-05T00:00:00,7
2022-07-06T00:00:00,8
2022-07-07T00:00:00,17
2022-07-08T00:00:00,7
2022-07-09T00:00:00,14
2022-07-10T00:00:00,25
2022-07-11T00:00:00,22
2022-07-12T00:00:00,9
2022-07-13T00:00:00,124
2022-07-14T00:00:00,36
2022-07-15T00:00:00,24
2022-07-16T00:00:00,68
2022-07-17T00:00:00,30
2022-07-18T00:00:00,50
2022-07-19T00:00:00,78
2022-07-20T00:00:00,32
2022-07-21T00:00:00,9
2022-07-22T00:00:00,31
2022-07-23T00:00:00,15
2022-07-24T00:00:00,12
2022-07-25T00:00:00,5
2022-07-26T00:00:00,13
2022-07-27T00:00:00,12
2022-07-28T00:00:00,9
2022-07-29T00:00:00,49
2022-07-30T00:00:00,23
2022-07-31T00:00:00,19
2022-08-01T00:00:00,12
2022-08-02T00:00:00,22
2022-08-03T00:00:00,46
2022-08-04T00:00:00,7
2022-08-05T00:00:00,21
2022-08-06T00:00:00,16
2022-08-07T00:00:00,8
2022-08-08T00:00:00,31
2022-08-09T00:00:00,11
2022-08-10T00:00:00,21
2022-08-11T00:00:00,25
2022-08-12T00:00:00,16
2022-08-13T00:00:00,8
2022-08-14T00:00:00,2
2022-08-15T00:00:00,15
2022-08-16T00:00:00,31
2022-08-17T00:00:00,13
2022-08-18T00:00:00,21
2022-08-19T00:00:00,9
2022-08-20T00:00:00,4
2022-08-21T00:00:00,16
2022-08-22T00:00:00,16
2022-08-23T00:00:00,9
2022-08-24T00:00:00,3
2022-08-25T00:00:00,14
2022-08-26T00:00:00,123
2022-08-27T00:00:00,23
2022-08-28T00:00:00,16
2022-08-29T00:00:00,11
2022-08-30T00:00:00,7
2022-08-31T00:00:00,9
2022-09-01T00:00:00,3
2022-09-02T00:00:00,6
2022-09-03T00:00:00,3
2022-09-04T00:00:00,20
2022-09-05T00:00:00,8
2022-09-06T00:00:00,18
2022-09-07T00:00:00,13
2022-09-08T00:00:00,0
2022-09-09T00:00:00,6
2022-09-10T00:00:00,6
2022-09-11T00:00:00,6
2022-09-12T00:00:00,20
2022-09-13T00:00:00,32
2022-09-14T00:00:00,23
2022-09-15T00:00:00,22
2022-09-16T00:00:00,3
2022-09-17T00:00:00,9
2022-09-18T00:00:00,21
2022-09-19T00:00:00,19
2022-09-20T00:00:00,8
2022-09-21T00:00:00,4
2022-09-22T00:00:00,9
2022-09-23T00:00:00,13
2022-09-24T00:00:00,16
2022-09-25T00:00:00,4
2022-09-26T00:00:00,56
2022-09-27T00:00:00,19
2022-09-28T00:00:00,5
2022-09-29T00:00:00,16
2022-09-30T00:00:00,20
