Date,Couverture de la Page Facebook
2022-07-01T00:00:00,15
2022-07-02T00:00:00,13
2022-07-03T00:00:00,419
2022-07-04T00:00:00,106
2022-07-05T00:00:00,45
2022-07-06T00:00:00,38
2022-07-07T00:00:00,642
2022-07-08T00:00:00,137
2022-07-09T00:00:00,113
2022-07-10T00:00:00,75
2022-07-11T00:00:00,99
2022-07-12T00:00:00,34
2022-07-13T00:00:00,105
2022-07-14T00:00:00,156
2022-07-15T00:00:00,57
2022-07-16T00:00:00,982
2022-07-17T00:00:00,207
2022-07-18T00:00:00,276
2022-07-19T00:00:00,160
2022-07-20T00:00:00,124
2022-07-21T00:00:00,105
2022-07-22T00:00:00,47
2022-07-23T00:00:00,201
2022-07-24T00:00:00,62
2022-07-25T00:00:00,26
2022-07-26T00:00:00,27
2022-07-27T00:00:00,19
2022-07-28T00:00:00,17
2022-07-29T00:00:00,30
2022-07-30T00:00:00,27
2022-07-31T00:00:00,17
