Date,Mentions Likes
2022-06-21T00:00:00,45
2022-06-22T00:00:00,22
2022-06-23T00:00:00,19
2022-06-24T00:00:00,12
2022-06-25T00:00:00,16
2022-06-26T00:00:00,12
2022-06-27T00:00:00,25
2022-06-28T00:00:00,32
2022-06-29T00:00:00,21
2022-06-30T00:00:00,9
2022-07-01T00:00:00,11
2022-07-02T00:00:00,7
2022-07-03T00:00:00,16
2022-07-04T00:00:00,18
2022-07-05T00:00:00,7
2022-07-06T00:00:00,8
2022-07-07T00:00:00,17
2022-07-08T00:00:00,7
2022-07-09T00:00:00,14
2022-07-10T00:00:00,25
2022-07-11T00:00:00,22
2022-07-12T00:00:00,9
2022-07-13T00:00:00,124
2022-07-14T00:00:00,36
2022-07-15T00:00:00,24
2022-07-16T00:00:00,68
2022-07-17T00:00:00,30
2022-07-18T00:00:00,50
2022-07-19T00:00:00,78
2022-07-20T00:00:00,32
