Date,Facebook Page reach
2022-09-01T00:00:00,103
2022-09-02T00:00:00,42
2022-09-03T00:00:00,30
2022-09-04T00:00:00,44
2022-09-05T00:00:00,27
2022-09-06T00:00:00,41
2022-09-07T00:00:00,398
2022-09-08T00:00:00,237
2022-09-09T00:00:00,121
2022-09-10T00:00:00,127
2022-09-11T00:00:00,56
2022-09-12T00:00:00,69
2022-09-13T00:00:00,60
2022-09-14T00:00:00,43
2022-09-15T00:00:00,38
2022-09-16T00:00:00,26
2022-09-17T00:00:00,32
2022-09-18T00:00:00,188
2022-09-19T00:00:00,81
2022-09-20T00:00:00,40
2022-09-21T00:00:00,99
2022-09-22T00:00:00,71
2022-09-23T00:00:00,50
2022-09-24T00:00:00,55
2022-09-25T00:00:00,28
2022-09-26T00:00:00,37
2022-09-27T00:00:00,24
2022-09-28T00:00:00,24
2022-09-29T00:00:00,33
2022-09-30T00:00:00,37
