Date,Couverture de la Page Facebook
2022-07-21T00:00:00,0
2022-07-22T00:00:00,0
2022-07-23T00:00:00,0
2022-07-24T00:00:00,0
2022-07-25T00:00:00,0
2022-07-26T00:00:00,0
2022-07-27T00:00:00,5
2022-07-28T00:00:00,223
2022-07-29T00:00:00,367
2022-07-30T00:00:00,97
2022-07-31T00:00:00,56
2022-08-01T00:00:00,353
2022-08-02T00:00:00,316
2022-08-03T00:00:00,734
2022-08-04T00:00:00,235
2022-08-05T00:00:00,115
2022-08-06T00:00:00,205
2022-08-07T00:00:00,465
2022-08-08T00:00:00,70
2022-08-09T00:00:00,37
2022-08-10T00:00:00,413
2022-08-11T00:00:00,167
2022-08-12T00:00:00,91
2022-08-13T00:00:00,78
2022-08-14T00:00:00,65
2022-08-15T00:00:00,52
2022-08-16T00:00:00,65
2022-08-17T00:00:00,53
2022-08-18T00:00:00,39
2022-08-19T00:00:00,25
2022-08-20T00:00:00,38
