Date,Nouvelles mentions J aime de la Page Facebook
2022-07-21T00:00:00,0
2022-07-22T00:00:00,0
2022-07-23T00:00:00,0
2022-07-24T00:00:00,0
2022-07-25T00:00:00,0
2022-07-26T00:00:00,0
2022-07-27T00:00:00,1
2022-07-28T00:00:00,125
2022-07-29T00:00:00,19
2022-07-30T00:00:00,9
2022-07-31T00:00:00,0
2022-08-01T00:00:00,6
2022-08-02T00:00:00,55
2022-08-03T00:00:00,9
2022-08-04T00:00:00,0
2022-08-05T00:00:00,1
2022-08-06T00:00:00,1
2022-08-07T00:00:00,2
2022-08-08T00:00:00,1
2022-08-09T00:00:00,4
2022-08-10T00:00:00,2
2022-08-11T00:00:00,1
2022-08-12T00:00:00,0
2022-08-13T00:00:00,2
2022-08-14T00:00:00,2
2022-08-15T00:00:00,6
2022-08-16T00:00:00,4
2022-08-17T00:00:00,2
2022-08-18T00:00:00,3
2022-08-19T00:00:00,2
2022-08-20T00:00:00,2
